@relation dataset_001_2000_inst_uniq_14_class

@attribute esfera {municipal,estadual,federal}
@attribute vagas_nivel_fundamental {1,0}
@attribute vagas_nivel_medio {1,0}
@attribute vagas_nivel_superior {1,0}
@attribute vagas_ciencias_exatas_terra {1,0}
@attribute vagas_ciencias_biologicas {1,0}
@attribute vagas_engenharias {1,0}
@attribute vagas_ciencias_saude {1,0}
@attribute vagas_ciencias_agrarias {1,0}
@attribute vagas_ciencias_sociais {1,0}
@attribute vagas_ciencias_humanas {1,0}
@attribute vagas_lingui_letras_artes {1,0}
@attribute outros {1,0}
@attribute has_isencao {1,0}
@attribute has_reserva_deficiente {1,0}
@attribute has_reserva_pnp {1,0}
@attribute tipo_processo_avaliativo {curso_tecnico,residencia,pos_graduacao,graduacao,proficiencia,concurso_publico,reopcao}
@attribute taxa_inscricao numeric
@attribute varios_locais_prova {1,0}
@attribute tipo_cobranca {gru_cobranca,gru_simples}
@attribute reserva_grupos_l {1,0}
@attribute nota_titulos {1,0}
@attribute analise_curricular {1,0}
@attribute has_redacao {1,0}
@attribute has_reserva_servidores {1,0}
@attribute class {faixa_10,faixa_100,faixa_500,faixa_1000,faixa_1700,faixa_2500,faixa_3500,faixa_5000,faixa_7000,faixa_10000,faixa_15000,faixa_20000,faixa_25000,faixa_30000}

@data
federal,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,pos_graduacao,0.2778,1,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,graduacao,0.1667,1,gru_simples,0,0,0,0,0,faixa_5000
federal,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,proficiencia,0.2778,1,gru_cobranca,0,0,0,0,1,faixa_1700
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,curso_tecnico,0.1667,1,gru_simples,1,0,0,0,0,faixa_1000
federal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,curso_tecnico,0.1667,0,gru_simples,1,0,0,0,0,faixa_5000
federal,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,proficiencia,0.2778,0,gru_cobranca,0,0,0,0,1,faixa_100
federal,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,proficiencia,0.2778,0,gru_simples,0,0,0,0,0,faixa_500
federal,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,curso_tecnico,0.1667,0,gru_simples,0,0,0,0,0,faixa_1700
federal,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,concurso_publico,0.3889,0,gru_cobranca,0,0,0,1,0,faixa_10000
federal,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,graduacao,0.1667,0,gru_simples,1,0,0,0,0,faixa_10
federal,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,curso_tecnico,0.1667,1,gru_simples,1,0,0,0,0,faixa_3500
federal,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,concurso_publico,0.3241,1,gru_cobranca,0,0,0,1,0,faixa_1000
municipal,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,concurso_publico,0.3056,0,gru_simples,0,0,0,0,0,faixa_10000
federal,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,proficiencia,0.2778,1,gru_cobranca,0,0,0,0,1,faixa_1000
federal,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,concurso_publico,0.5,1,gru_cobranca,0,0,0,0,0,faixa_2500
federal,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,concurso_publico,0.3718,0,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,curso_tecnico,0,0,gru_simples,1,0,0,0,0,faixa_10
federal,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,curso_tecnico,0.1667,0,gru_simples,0,0,0,0,0,faixa_100
federal,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,concurso_publico,0.4222,1,gru_cobranca,0,0,0,1,0,faixa_1700
federal,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,concurso_publico,0.4444,0,gru_cobranca,0,1,0,0,0,faixa_100
federal,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,curso_tecnico,0,0,gru_simples,1,0,0,0,0,faixa_500
federal,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,graduacao,0,0,gru_simples,1,0,0,1,0,faixa_500
federal,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,proficiencia,0.2778,0,gru_cobranca,0,0,0,0,1,faixa_1000
federal,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,concurso_publico,0.3167,0,gru_cobranca,0,0,0,0,0,faixa_1000
federal,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,concurso_publico,0.1556,0,gru_simples,0,0,0,0,0,faixa_15000
federal,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,concurso_publico,0.3778,0,gru_cobranca,0,0,0,0,0,faixa_25000
municipal,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,concurso_publico,0.3889,0,gru_cobranca,0,1,0,0,0,faixa_10000
federal,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,curso_tecnico,0,0,gru_simples,1,0,0,0,0,faixa_100
federal,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,curso_tecnico,0.1667,1,gru_simples,1,0,0,1,0,faixa_2500
federal,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,curso_tecnico,0.1667,0,gru_simples,1,0,0,0,0,faixa_100
federal,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,graduacao,0.1667,0,gru_simples,1,0,0,0,0,faixa_100
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,1,1,gru_cobranca,0,1,0,0,0,faixa_2500
federal,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,proficiencia,0.2778,0,gru_simples,0,0,0,0,1,faixa_100
federal,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,pos_graduacao,1,0,gru_cobranca,0,0,0,0,1,faixa_100
federal,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,curso_tecnico,0.1667,0,gru_simples,0,0,0,0,0,faixa_2500
federal,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,concurso_publico,0.4259,0,gru_cobranca,0,0,0,0,0,faixa_25000
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,curso_tecnico,0.1667,1,gru_simples,1,0,0,0,0,faixa_2500
municipal,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,concurso_publico,0.4738,0,gru_cobranca,0,0,0,0,0,faixa_1700
municipal,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,concurso_publico,0.4222,0,gru_cobranca,0,0,0,0,0,faixa_3500
federal,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,curso_tecnico,0,0,gru_simples,1,0,0,0,0,faixa_100
municipal,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,concurso_publico,0.4394,0,gru_cobranca,0,0,0,0,0,faixa_1000
federal,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,concurso_publico,0.375,0,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,1,0,gru_cobranca,0,1,1,0,0,faixa_1000
federal,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,concurso_publico,0.4333,1,gru_cobranca,0,0,0,1,0,faixa_1700
federal,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,pos_graduacao,0.9722,0,gru_cobranca,0,0,0,0,1,faixa_500
municipal,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,concurso_publico,0.4861,0,gru_cobranca,0,0,0,0,0,faixa_100
federal,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,pos_graduacao,0.9722,0,gru_cobranca,0,0,0,0,1,faixa_500
federal,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,curso_tecnico,0,0,gru_simples,1,0,0,0,0,faixa_100
federal,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,concurso_publico,0,1,gru_simples,0,0,0,0,0,faixa_500
federal,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,concurso_publico,0.4214,0,gru_cobranca,0,0,0,0,0,faixa_30000
estadual,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,concurso_publico,0.5459,0,gru_cobranca,0,1,0,0,0,faixa_30000
federal,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,graduacao,0.1667,0,gru_simples,0,1,0,0,0,faixa_2500
municipal,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,concurso_publico,0,0,gru_simples,0,1,0,0,0,faixa_1000
federal,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,curso_tecnico,0,0,gru_simples,1,0,0,0,0,faixa_100
federal,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,concurso_publico,0.3437,0,gru_cobranca,0,0,0,1,0,faixa_20000
federal,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,graduacao,0,0,gru_simples,1,0,0,1,0,faixa_100
federal,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,curso_tecnico,0.1667,0,gru_simples,1,0,0,0,0,faixa_2500
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,1,1,gru_cobranca,0,0,1,1,0,faixa_2500
municipal,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,concurso_publico,0.4444,0,gru_cobranca,0,1,1,1,0,faixa_20000
federal,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,graduacao,0.1667,0,gru_simples,0,0,0,0,0,faixa_1700
municipal,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,concurso_publico,0.3889,0,gru_cobranca,0,0,0,0,0,faixa_2500
federal,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,concurso_publico,0.2879,0,gru_cobranca,0,0,0,0,0,faixa_5000
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,1,0,gru_cobranca,0,1,0,0,0,faixa_1000
federal,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,reopcao,0,0,gru_simples,0,0,0,0,0,faixa_100
federal,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,curso_tecnico,0.0833,0,gru_simples,1,0,0,0,0,faixa_100
municipal,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,concurso_publico,0.3877,0,gru_cobranca,0,1,0,0,0,faixa_25000
federal,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,concurso_publico,0.3796,1,gru_cobranca,0,0,0,1,0,faixa_20000
estadual,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,concurso_publico,0.3595,0,gru_simples,0,0,0,0,0,faixa_15000
municipal,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,concurso_publico,0.5397,0,gru_cobranca,0,0,0,0,0,faixa_1000
federal,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,concurso_publico,0.4204,0,gru_cobranca,0,0,0,0,0,faixa_3500
federal,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,graduacao,0,0,gru_simples,1,0,0,1,0,faixa_500
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,residencia,1,0,gru_cobranca,0,0,1,0,0,faixa_1000
federal,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,graduacao,0.1667,0,gru_simples,1,0,0,0,0,faixa_1000
federal,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,pos_graduacao,0.3889,1,gru_cobranca,0,0,0,1,0,faixa_5000
federal,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,concurso_publico,0,0,gru_simples,1,0,0,0,0,faixa_100
federal,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,graduacao,0.1667,1,gru_simples,1,0,0,1,0,faixa_15000
federal,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,curso_tecnico,0.1667,1,gru_simples,1,0,0,0,0,faixa_2500
municipal,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,concurso_publico,0.2222,0,gru_simples,0,0,0,0,0,faixa_1700
federal,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,graduacao,0.1667,1,gru_simples,0,1,0,1,0,faixa_5000
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,1,0,gru_cobranca,0,0,1,0,0,faixa_1700
federal,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,concurso_publico,0.3889,1,gru_cobranca,0,0,0,1,0,faixa_30000
municipal,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,concurso_publico,0.5035,0,gru_cobranca,0,0,0,0,0,faixa_5000
federal,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,concurso_publico,0.1667,0,gru_simples,0,0,0,0,0,faixa_500
municipal,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,concurso_publico,0.5238,0,gru_cobranca,0,1,0,0,0,faixa_3500
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.1667,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,pos_graduacao,0.3889,1,gru_cobranca,0,0,0,1,0,faixa_10000
municipal,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,concurso_publico,0.4877,0,gru_cobranca,0,0,0,0,0,faixa_500
federal,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,curso_tecnico,0,0,gru_simples,1,0,0,0,0,faixa_100
federal,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,concurso_publico,0.4111,0,gru_cobranca,0,0,0,0,0,faixa_7000
estadual,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,pos_graduacao,0.3961,0,gru_cobranca,0,0,0,0,0,faixa_500
federal,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,graduacao,0.1667,0,gru_simples,0,1,0,0,0,faixa_1700
federal,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,proficiencia,0.2778,1,gru_cobranca,0,0,0,0,1,faixa_1000
municipal,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,concurso_publico,0.4343,0,gru_cobranca,0,1,0,0,0,faixa_3500
estadual,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,pos_graduacao,0.4167,0,gru_cobranca,0,0,0,0,0,faixa_500
federal,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,pos_graduacao,0.9167,0,gru_cobranca,0,0,0,0,1,faixa_1000
estadual,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,pos_graduacao,0.4444,1,gru_cobranca,0,0,0,0,0,faixa_1700
municipal,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,concurso_publico,0.5018,0,gru_cobranca,0,0,0,0,0,faixa_1000
federal,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,pos_graduacao,0.5,0,gru_cobranca,0,0,0,0,0,faixa_1700
federal,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,proficiencia,0.2778,0,gru_cobranca,0,0,0,0,1,faixa_500
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,1,0,gru_cobranca,0,0,1,0,0,faixa_10
federal,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,residencia,1,0,gru_cobranca,0,0,1,0,0,faixa_100
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.0556,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,1,1,gru_cobranca,0,0,1,0,0,faixa_1700
federal,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,concurso_publico,0.4444,1,gru_cobranca,0,0,0,1,0,faixa_5000
federal,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,residencia,1,0,gru_simples,0,0,1,0,0,faixa_10
federal,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,concurso_publico,0,0,gru_simples,0,0,0,0,0,faixa_1000
federal,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,proficiencia,0.2778,0,gru_simples,0,0,0,0,1,faixa_500
municipal,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,concurso_publico,0.5214,1,gru_cobranca,0,1,0,0,0,faixa_15000
federal,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,concurso_publico,0.383,0,gru_simples,0,1,0,0,0,faixa_2500
federal,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,curso_tecnico,0.1667,0,gru_simples,1,0,0,0,0,faixa_500
federal,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,concurso_publico,0.3889,0,gru_cobranca,0,0,0,0,0,faixa_100
estadual,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,concurso_publico,0.8704,1,gru_cobranca,0,0,0,1,0,faixa_30000
municipal,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,concurso_publico,0.3148,0,gru_cobranca,0,0,0,0,0,faixa_1700
federal,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,proficiencia,0.2778,1,gru_cobranca,0,0,0,0,1,faixa_1700
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.238401,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.289677,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.067433,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,concurso_publico,0.262917,1,gru_simples,0,0,0,0,0,faixa_15000
federal,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,concurso_publico,0.439936,1,gru_simples,0,0,0,0,0,faixa_15000
federal,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,concurso_publico,0.166331,1,gru_simples,0,0,0,0,0,faixa_15000
federal,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,concurso_publico,0.160201,1,gru_simples,0,0,0,0,0,faixa_15000
federal,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,concurso_publico,0.380111,0,gru_cobranca,0,0,0,0,0,faixa_25000
federal,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,concurso_publico,0.382719,0,gru_cobranca,0,0,0,0,0,faixa_25000
federal,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,concurso_publico,0.424299,0,gru_cobranca,0,0,0,0,0,faixa_25000
federal,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,concurso_publico,0.377925,0,gru_cobranca,0,0,0,0,0,faixa_25000
estadual,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,concurso_publico,0.457925,1,gru_cobranca,0,0,0,1,0,faixa_30000
estadual,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,concurso_publico,0.484046,1,gru_cobranca,0,0,0,1,0,faixa_30000
estadual,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,concurso_publico,0.389982,1,gru_cobranca,0,0,0,1,0,faixa_30000
estadual,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,concurso_publico,0.549982,1,gru_cobranca,0,0,0,1,0,faixa_30000
municipal,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,concurso_publico,0.245208,0,gru_cobranca,0,0,0,0,0,faixa_3500
municipal,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,concurso_publico,0.421306,0,gru_cobranca,0,0,0,0,0,faixa_3500
municipal,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,concurso_publico,0.411956,0,gru_cobranca,0,0,0,0,0,faixa_3500
municipal,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,concurso_publico,0.171192,0,gru_cobranca,0,0,0,0,0,faixa_3500
municipal,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,concurso_publico,0.480836,0,gru_cobranca,0,0,0,0,0,faixa_3500
federal,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,concurso_publico,0.366279,0,gru_cobranca,0,0,0,1,0,faixa_20000
federal,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,concurso_publico,0.368003,0,gru_cobranca,0,0,0,1,0,faixa_20000
federal,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,concurso_publico,0.347052,0,gru_cobranca,0,0,0,1,0,faixa_20000
federal,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,concurso_publico,0.380415,0,gru_cobranca,0,0,0,1,0,faixa_20000
federal,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,concurso_publico,0.360934,0,gru_cobranca,0,0,0,1,0,faixa_20000
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.202778,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.289677,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.059298,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.057899,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.352811,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,curso_tecnico,0.141204,1,gru_simples,1,0,0,0,0,faixa_7000
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,0.755529,0,gru_cobranca,0,0,1,0,0,faixa_10
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,0.580702,0,gru_simples,1,0,1,0,0,faixa_10
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,0.52921,0,gru_cobranca,0,0,1,0,0,faixa_10
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,0.989518,0,gru_simples,1,0,0,0,0,faixa_10
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,0.519951,0,gru_simples,1,0,1,0,0,faixa_10
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,1,0,gru_cobranca,0,0,1,0,0,faixa_10
federal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,residencia,1,0,gru_simples,1,0,1,0,0,faixa_10
federal,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,concurso_publico,0.114094,0,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,concurso_publico,0.291612,0,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,concurso_publico,0.388437,0,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,concurso_publico,0.27815,0,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,concurso_publico,0.178482,0,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,concurso_publico,0.37857,0,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,concurso_publico,0.373228,0,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,concurso_publico,0.331285,0,gru_cobranca,0,0,0,0,0,faixa_10000
federal,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,concurso_publico,0.239017,1,gru_simples,0,0,0,0,0,faixa_15000
federal,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,concurso_publico,0.263529,1,gru_simples,0,0,0,0,0,faixa_15000
federal,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,concurso_publico,0.166484,1,gru_simples,0,0,0,0,0,faixa_15000
federal,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,concurso_publico,0.164745,1,gru_simples,0,0,0,0,0,faixa_15000
